uri	year	title	author	word_count	word_types	ncommon_tok	nold_tok	nnew_tok	nlapsed_tok	ncommon_typ	nold_typ	nnew_typ	nlapsed_typ
VAC7986	1863	Philadelphia Malignants	Tartan.	5046	1308	99.306381292113	0.23781212841855	0.39635354736425	0.059453032104637	97.553516819572	0.91743119266055	1.2996941896024	0.22935779816514
VAC7989	1863	Hannah Thurston	Taylor, Bayard, (1825-1878)	158989	13710	98.200504437414	0.64344074118335	0.74281868556944	0.4132361358333	94.959883296864	0.86068563092633	3.0123997082422	1.1670313639679
VAC8007	1863	Husks	Harland, Marion, (1830-1922)	160928	15512	98.57141081726	0.42192781865182	0.68912805726785	0.31753330682044	95.029654461062	0.8896338318721	3.0428055698814	1.0379061371841
VAC8104	1863	Temptation and Triumph	Townsend, Virginia F. (1836-1920)	93819	7697	98.418230848762	0.34960935418199	0.69815282618659	0.53400697086944	95.803559828505	0.57165129271145	2.5854228920359	1.0393659867481
VAC8178	1863	Well! Well!	Wallace, M. A.	95340	10255	98.51269142018	0.60100692259283	0.57163834696874	0.31466331025802	95.338859093125	0.93612871769868	2.4085811799122	1.3164310092638
VAC8186	1863	Lulu	Walworth, Mansfield Tracy, (1830-1873)	107269	12611	98.459946489666	0.45026988225862	0.68426106330813	0.40552256476708	94.488938228531	1.5224803742764	2.4423122670684	1.5462691301245
VAC8287	1863	Revelations	White, Richard Grant, (1821-1885)	6252	1470	99.120281509917	0.12795905310301	0.47984644913628	0.27191298784389	97.755102040816	0.47619047619048	1.0884353741497	0.68027210884354
VAC8350	1863	Life in the Open Air	Winthrop, Theodore, (1828-1861)	88961	12963	98.534189139061	0.27764975663493	0.95547487101089	0.23268623329324	94.569158373833	0.70971225796498	3.7799892000309	0.94114016817095
VAC8357	1863	Tales for All Seasons	Wolfersberger, G. A.	54022	6597	97.582466402577	1.0551256895339	0.89593128725334	0.46647662063604	96.134606639382	0.59117780809459	2.2434439896923	1.0307715628316
VAC8395	1863	Clara Hollinbrook, the Beauty of Fairfax, or, The Life and Adventures of an Officer of the Union Army During the Present War	Wright, Sarah A.	23363	4000	99.011257115953	0.30389932799726	0.47939048923512	0.20545306681505	97.1	0.8	1.2	0.9
VAC5615	1864	Growler's Income Tax	Arthur, T. S. (1809-1885)	1741	603	98.564043653073	0	1.2062033314187	0.22975301550833	97.014925373134	0	2.3217247097844	0.66334991708126
VAC5522	1864	The Trials of the Soldier's Wife	Abrams, A. S.	70108	5981	98.746220117533	0.75740286415245	0.45501226678838	0.041364751526217	97.52549740846	0.31767262999498	1.8391573315499	0.31767262999498
